date,in,out,dif
1/1/2012,10938,6269,4669
1/2/2012,28087,13069,15018
1/3/2012,32770,15445,17325
1/4/2012,25949,12170,13779
1/5/2012,24066,13671,10395
1/6/2012,21564,16860,4704
1/7/2012,26167,15648,10519
1/8/2012,25086,15993,9093
1/9/2012,20357,13021,7336
1/10/2012,24880,15630,9250
1/11/2012,24692,13070,11622
1/12/2012,23145,13186,9959
1/1/2013,22724,13879,8845
1/2/2013,22495,11441,11054
1/3/2013,21784,13039,8745
1/4/2013,19645,15507,4138
1/5/2013,17914,16361,1553
1/6/2013,17886,15194,2692
1/7/2013,23850,21438,2412
1/8/2013,23570,22220,1350
1/9/2013,18033,17983,50
1/10/2013,23501,23233,268
1/11/2013,22301,22139,162
1/12/2013,29426,19048,10378
1/1/2014,26136,19633,6503
1/2/2014,24451,19174,5277
1/3/2014,32462,20531,11931
1/4/2014,33120,22845,10275
1/5/2014,26909,22437,4472
1/6/2014,27863,27796,67
1/7/2014,33507,35328,-1821
1/8/2014,33979,34576,-597
1/9/2014,33039,29566,3473
1/10/2014,40900,36340,4560
1/11/2014,41979,36769,5210
1/12/2014,47389,35825,11564
1/1/2015,45508,30976,14532
1/2/2015,43546,29571,13975
1/3/2015,50910,33778,17132
1/4/2015,50677,34781,15896
1/5/2015,49950,34252,15698
1/6/2015,52558,36046,16512
1/7/2015,51151,44668,6483
1/8/2015,56837,51315,5522
1/9/2015,47288,54744,-7456
1/10/2015,55013,59555,-4542
1/11/2015,62547,57627,4920
1/12/2015,62716,57178,5538
1/1/2016,61627,48107,13520
1/2/2016,58826,48771,10055
1/3/2016,64540,59090,5450
1/4/2016,73185,64686,8499
1/5/2016,63139,68783,-5644
1/6/2016,68138,71192,-3054
1/7/2016,79355,75170,4185
1/8/2016,80515,78825,1690
1/9/2016,86332,68572,17760
